,Ctrl-1,Ctrl-2,SHED-1,SHED-2
Rpl35,0.212741337599842,0.233813875741027,0.109378093039832,0.168267365289428
Hnrnpa3,0.144809603123283,0.17503102755709,0.184647452613134,0.178667565994278
Hadha,0.163140268081762,0.159042211710614,0.181358768701866,0.173654327772452
Fgb,0.11925466166623,0.14467428143341,0.191467241373392,0.27424677384482
Fahd1,0.151693400919494,0.163941219485325,0.19481539056537,0.178542383634518
Ddx1,0.211321270523484,0.212843146890399,0.124898334103651,0.139479866516113
Trap1,0.161063876253618,0.166376431484222,0.188859812551506,0.179599012025667
Pdhb,0.165195512445261,0.152044011222187,0.192139772508016,0.18111098269663
Ndufv2,0.147102221910095,0.182576380975521,0.193040071224421,0.17804677791968
Ddx39b,0.189304996251621,0.180635103401878,0.155022659058115,0.160623040334986
Atp5b,0.160201162963113,0.15352975878291,0.193236230622766,0.170666713444197
Ldha,0.166491489872555,0.163353893045605,0.218917238164253,0.177647379877685
Car5a,0.213233978572332,0.167518824166956,0.153273109986406,0.156526675689613
Rps3a1,0.185963208119051,0.179752085582458,0.146606649443205,0.168572510947096
Stip1,0.165690133206776,0.168258887098757,0.180096541958002,0.176671788402184
Hmgn1,0.22573690308744,0.205463795695243,0.148211118457098,0.162389624568626
Fn3krp,0.230077147342096,0.228532724524545,0.139284039489135,0.151644386019422
Acsf2,0.163175820857601,0.161918993999776,0.184998451872973,0.190509959171819
H1f4,0.22167726154298,0.230061703198445,0.0949409722085509,0.164159622487479
Rps24,0.195736098840485,0.1881315026219,0.140841483404172,0.185780795038014
Esd,0.163515920667132,0.162315183818065,0.196609511165067,0.167783423016702
Pgrmc1,0.185985761118963,0.183121028112143,0.148778746736655,0.166420040509267
Hsp90aa1,0.173572389012898,0.152759074395492,0.194891385801551,0.182098860135796
Apoa2,0.152311272816762,0.168286746174265,0.243473243516356,0.192997229902128
Scp2,0.162823746229869,0.161587958208276,0.194882418556916,0.174485078663037
Rpl6,0.205305010160822,0.187423309359483,0.139818356098229,0.166938602302297
Abat,0.156095152322554,0.160231252825033,0.200296872900758,0.167847636041224
Rps9,0.271403999575302,0.215898999154972,0.106732786748348,0.17780986296357
Ldhd,0.189975558787254,0.181265271605433,0.160354588038709,0.172387888241628
Pdia5,0.16394646741044,0.172447937033108,0.181872859145576,0.183813961036614
Uqcrb,0.168685207616805,0.159678659602704,0.257415334794192,0.167234834749557
Rrbp1,0.235912248592194,0.193114910428691,0.15566411591511,0.162671003935975
Acot13,0.189756104378409,0.206529374006143,0.176780393255883,0.165554668215295
Srsf5,0.202476267885761,0.186658574030852,0.159897723887321,0.164202387459853
Sucla2,0.166586444786959,0.157130023526405,0.191066284228465,0.178971537126423
Asl,0.181151130470183,0.185339088580469,0.167348754275434,0.159467524911528
Ppa1,0.163142438135268,0.164847104496274,0.186163581397427,0.166155053190048
Hdgf,0.157167146349685,0.159964513682839,0.196481966597133,0.174491813658075
Serbp1,0.198080425032614,0.190606020616264,0.16147532946174,0.163264896251554
Dlat,0.162869932747061,0.15436155893574,0.179450122760944,0.178230099047241
Sar1b,0.143232977349927,0.149550367732582,0.217276935209098,0.167959093334325
Sptbn1,0.209999767098668,0.189689841658207,0.140365957853881,0.155427652958408
Ndufa5,0.14668498860627,0.15558721005719,0.207858829267147,0.173987758092431
Wdr1,0.167173182397268,0.161806563336213,0.180249054094914,0.190316243292598
