"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_WT","mean_SHED","ngood_WT","ngood_SHED"
"715","P19157",-0.186798509604009,-2.59188799199377,-3.57336265258627,0.00195210196233644,0.0602548805707848,-1.2729528278862,FALSE,-2.68528724679577,-2.49848873719177,9,9
"795","P40142",-0.170702333095701,-2.59061243986683,-3.58066738666176,0.00191955037508139,0.0602548805707848,-1.257563304995,FALSE,-2.67596360641468,-2.50526127331898,9,9
"444","F6SFF5",-0.228747517364298,-2.59581493845678,-3.49890097227743,0.0023166253953252,0.0622528040614957,-1.42954015872519,FALSE,-2.71018869713893,-2.48144117977463,9,9
"543","O08601",-0.164752374794077,-2.59029240759237,-3.49212218920971,0.00235296775610405,0.0622528040614957,-1.44376777796516,FALSE,-2.6726685949894,-2.50791622019533,9,9
"685","P14869",-0.207362552877022,-2.59394983550489,-3.51721778671107,0.00222116950116049,0.0622528040614957,-1.39107203632595,FALSE,-2.6976311119434,-2.49026855906638,9,9
"722","P20108",-0.170010463332149,-2.59065807219997,-3.53638899166293,0.00212541464272364,0.0622528040614957,-1.35077319055886,FALSE,-2.67566330386604,-2.5056528405339,9,9
"1042","Q01149",0.614260481313006,-2.66200888928101,3.52321141190656,0.00219078465795897,0.0622528040614957,-1.3784770640278,FALSE,-2.35487864862451,-2.96913912993751,9,9
"670","P12787",-0.235687016171292,-2.59747898712639,-3.43890120627135,0.00265848935776307,0.0652859948049402,-1.55529535722587,FALSE,-2.71532249521204,-2.47963547904075,9,9
"1530","Q921I1",-0.282801203830081,-2.60355094715319,-3.43552720306876,0.00267912289696299,0.0652859948049402,-1.5623548820615,FALSE,-2.74495154906823,-2.46215034523815,9,9
"1564","Q99L20",-0.157609777160493,-2.58981338514607,-3.44775733552654,0.00260507078549492,0.0652859948049402,-1.53675907538236,FALSE,-2.66861827372631,-2.51100849656582,9,9
"1098","Q3U9N4",-0.1956699289148,-2.59309249488245,-3.40751428832004,0.00285662557922148,0.0678265458040793,-1.62091434962068,FALSE,-2.69092745933985,-2.49525753042505,9,9
"1545","Q925I1",0.19495182436942,-2.59273270758111,3.39181309789869,0.00296111689809421,0.0685498561908809,-1.65369448288816,FALSE,-2.4952567953964,-2.69020861976582,9,9
"1679","Q9D6M3",0.498377294064545,-2.63519884457507,3.37852642617915,0.00305246406685197,0.0689410177049982,-1.68140915463959,FALSE,-2.3860101975428,-2.88438749160734,9,9
"680","P14206",-0.153069964874592,-2.58973205041704,-3.35055762495246,0.00325388232049023,0.070655567030376,-1.73967332853463,FALSE,-2.66626703285434,-2.51319706797975,9,9
"982","P67984",-0.12515821221337,-2.58784231362619,-3.33070927412197,0.00340466893754295,0.070655567030376,-1.78095649699322,FALSE,-2.65042141973288,-2.52526320751951,9,9
"1025","P97450",-0.21433932159642,-2.59539049573083,-3.33757588035435,0.00335174478855532,0.070655567030376,-1.7666806441801,FALSE,-2.70256015652904,-2.48822083493262,9,9
